,Pais,Genero,Edad,Antigüedad,FacturacionTotal,PuntuacionCrediticia,CantidadProductos,PoseeTarjetaCredito,MiembroActivo,SalarioEstimado,VelocidadServicio,Abandono
2233,Argentina,Masculino,28,8,0.0,785,2,Si,No,77231.27,100GB,No
2234,Argentina,Masculino,67,2,94203.8,729,1,No,Si,102391.06,1GB,No
2235,Brasil,Masculino,29,7,130575.26,576,1,No,Si,173629.78,2GB,No
2236,Argentina,Masculino,40,1,0.0,455,3,No,Si,129975.34,20GB,No
2237,Brasil,Femenino,43,9,116644.29,789,2,Si,Si,60176.1,20GB,No
2238,Argentina,Femenino,24,4,0.0,667,2,No,Si,34335.55,1GB,No
2239,Brasil,Femenino,30,10,77168.87,492,2,No,Si,146700.22,1GB,No
2240,Brasil,Masculino,39,7,108055.1,538,2,Si,No,27231.26,20GB,No
2241,Chile,Masculino,31,5,0.0,847,2,Si,Si,76326.67,100GB,No
2242,Chile,Femenino,35,1,120171.58,722,1,Si,No,125240.8,1GB,No
2243,Chile,Masculino,32,5,0.0,584,2,Si,No,10956.82,500Mb,Si
2244,Argentina,Masculino,29,10,0.0,731,2,Si,Si,162452.65,20GB,No
2245,Argentina,Masculino,41,6,0.0,593,2,Si,Si,99136.49,500Mb,Si
2246,Brasil,Femenino,35,1,121952.75,646,2,Si,Si,142839.82,1GB,No
2247,Argentina,Masculino,34,7,117715.84,705,1,Si,No,2498.67,2GB,No
2248,Brasil,Femenino,35,7,114285.2,850,1,No,Si,129660.59,500Mb,Si
2249,Chile,Masculino,23,4,115636.05,651,2,Si,No,70400.86,1GB,No
2250,Argentina,Femenino,32,6,0.0,703,2,No,No,33606.52,500Mb,Si
2251,Argentina,Masculino,54,8,0.0,592,1,Si,Si,28737.71,500Mb,Si
2252,Brasil,Masculino,36,6,118448.15,678,2,Si,No,53172.02,2GB,No
2253,Argentina,Femenino,44,5,0.0,791,2,Si,Si,123977.86,20GB,Si
2254,Argentina,Masculino,39,10,129674.89,570,2,Si,No,80552.36,1GB,No
2255,Argentina,Femenino,60,3,47020.65,586,2,No,Si,63241.21,2GB,Si
2256,Brasil,Masculino,36,8,102603.3,747,2,Si,Si,180693.61,100GB,No
2257,Chile,Masculino,51,4,0.0,773,2,No,No,123587.83,20GB,Si
2258,Chile,Femenino,32,3,0.0,670,2,Si,No,46175.7,100GB,No
2259,Brasil,Femenino,39,8,162532.14,597,3,Si,No,36051.46,2GB,Si
2260,Argentina,Femenino,47,10,0.0,655,2,Si,No,167778.62,1GB,No
2261,Brasil,Masculino,45,6,152880.97,730,1,No,No,162478.11,2GB,No
2262,Argentina,Masculino,58,6,89685.92,707,1,No,Si,126471.13,2GB,No
2263,Argentina,Femenino,30,6,0.0,573,2,Si,No,66190.21,100GB,No
2264,Argentina,Masculino,42,9,152603.45,432,1,Si,No,110265.24,20GB,Si
2265,Chile,Masculino,33,2,0.0,716,2,Si,Si,92916.53,2GB,No
2266,Brasil,Femenino,30,10,100548.67,646,2,No,No,136983.77,20GB,No
2267,Chile,Masculino,39,7,89039.9,513,2,Si,Si,146738.83,500Mb,Si
2268,Chile,Femenino,33,9,0.0,730,2,No,No,176576.62,100GB,No
2269,Argentina,Masculino,50,6,153590.73,641,2,Si,Si,130910.78,1GB,No
2270,Chile,Masculino,58,4,0.0,489,2,Si,Si,191419.32,100GB,No
2271,Chile,Femenino,32,7,0.0,754,2,Si,No,89520.75,1GB,No
2272,Brasil,Femenino,37,7,124513.66,638,2,Si,No,158610.89,2GB,No
2273,Brasil,Masculino,35,8,121309.17,582,2,Si,Si,28750.67,1GB,No
2274,Brasil,Masculino,36,5,190479.48,606,2,No,No,179351.89,20GB,No
2275,Argentina,Masculino,41,1,123971.16,601,1,No,Si,172814.99,1GB,No
2276,Chile,Masculino,31,3,0.0,687,2,No,No,48228.1,1GB,No
2277,Argentina,Masculino,55,6,134140.68,735,1,Si,No,2267.88,500Mb,Si
2278,Chile,Masculino,26,1,131643.25,468,1,Si,No,64436.16,20GB,No
2279,Chile,Masculino,30,2,0.0,702,2,Si,Si,145537.32,100GB,No
2280,Brasil,Femenino,29,2,129177.01,568,2,No,Si,104617.99,20GB,No
2281,Argentina,Masculino,20,1,80569.73,676,1,No,No,68621.98,20GB,No
2282,Argentina,Femenino,40,2,0.0,565,2,Si,Si,129956.13,20GB,No
2283,Brasil,Masculino,45,10,144677.19,743,3,Si,No,22512.44,20GB,Si
2284,Argentina,Masculino,22,5,0.0,750,2,No,Si,105125.65,20GB,No
2285,Brasil,Masculino,58,2,142537.18,558,1,Si,Si,88791.83,2GB,No
2286,Argentina,Masculino,20,0,125023.1,781,2,Si,Si,108301.45,1GB,No
2287,Chile,Masculino,29,2,45022.23,649,1,Si,Si,173495.77,100GB,No
2288,Chile,Masculino,34,8,98382.72,602,1,Si,No,39542.0,2GB,No
2289,Argentina,Masculino,54,5,0.0,692,2,Si,Si,88721.84,2GB,No
2290,Argentina,Masculino,32,4,147307.91,709,1,No,Si,40861.55,20GB,No
2291,Argentina,Masculino,34,8,163757.06,556,1,Si,Si,104000.06,1GB,No
2292,Argentina,Femenino,32,3,0.0,484,2,Si,Si,139390.99,1GB,No
2293,Argentina,Femenino,38,5,118590.41,715,1,Si,Si,5684.17,100GB,Si
2294,Argentina,Femenino,34,9,70302.48,785,1,Si,Si,68600.36,100GB,No
2295,Chile,Femenino,32,4,0.0,545,1,Si,No,94739.2,1GB,No
2296,Argentina,Masculino,41,5,0.0,673,1,Si,Si,65657.29,500Mb,Si
2297,Argentina,Femenino,21,3,176511.08,499,1,Si,Si,153920.22,500Mb,Si
2298,Chile,Femenino,55,2,155828.22,638,1,No,Si,108987.25,2GB,Si
2299,Brasil,Masculino,72,5,94216.05,529,1,Si,Si,78695.68,20GB,No
2300,Brasil,Femenino,25,7,144351.86,828,1,Si,No,116613.26,100GB,No
2301,Brasil,Femenino,41,5,92467.58,619,1,Si,No,38270.47,20GB,No
2302,Brasil,Masculino,29,1,107233.85,722,2,Si,No,24924.92,1GB,No
2303,Argentina,Femenino,46,4,0.0,646,3,Si,No,93251.42,20GB,Si
2304,Argentina,Femenino,45,6,0.0,554,2,Si,Si,181204.5,100GB,No
2305,Chile,Femenino,36,6,0.0,527,2,Si,Si,102280.29,2GB,No
2306,Argentina,Masculino,59,5,138772.15,518,1,No,Si,123872.0,2GB,No
2307,Chile,Masculino,45,0,0.0,585,2,No,No,189683.7,20GB,No
2308,Argentina,Masculino,38,9,148912.44,755,1,Si,No,80416.16,20GB,No
2309,Argentina,Femenino,37,7,111852.84,655,2,Si,No,10511.13,100GB,No
2310,Argentina,Masculino,42,7,0.0,373,1,Si,No,77786.37,500Mb,Si
2311,Argentina,Femenino,47,1,122949.14,581,1,No,No,180251.68,500Mb,Si
2312,Brasil,Masculino,36,4,132578.92,659,2,Si,No,84320.94,20GB,No
2313,Argentina,Masculino,31,4,105239.1,742,1,Si,Si,19700.24,500Mb,Si
2314,Chile,Femenino,34,2,0.0,450,2,Si,No,175480.93,100GB,No
2315,Chile,Masculino,33,5,0.0,602,2,No,Si,64038.34,2GB,No
2316,Argentina,Femenino,35,4,108155.49,577,1,Si,No,105407.79,1GB,No
2317,Argentina,Masculino,37,3,77608.46,700,2,Si,Si,175373.46,1GB,No
2318,Brasil,Femenino,36,3,117700.86,477,1,No,No,74042.0,1GB,No
2319,Chile,Masculino,46,7,128029.72,682,1,Si,Si,62615.35,100GB,No
2320,Chile,Masculino,38,1,87202.38,667,1,Si,Si,77866.91,20GB,No
2321,Chile,Femenino,36,5,119799.27,612,2,Si,No,159416.58,20GB,No
2322,Argentina,Masculino,32,9,0.0,825,2,No,No,9751.03,20GB,No
2323,Argentina,Femenino,22,8,174185.98,799,2,No,Si,192633.85,500Mb,Si
2324,Chile,Femenino,40,4,101090.27,641,1,Si,Si,51703.09,500Mb,Si
2325,Chile,Femenino,50,0,158633.61,699,1,Si,No,193785.87,20GB,No
2326,Chile,Masculino,35,6,74371.49,741,1,No,No,99595.67,20GB,No
2327,Argentina,Femenino,74,5,0.0,652,2,Si,Si,937.15,20GB,No
2328,Argentina,Masculino,40,7,124339.9,613,1,No,No,193309.58,500Mb,Si
2329,Argentina,Masculino,49,3,0.0,611,2,Si,Si,142917.54,100GB,No
2330,Brasil,Masculino,39,5,113193.51,615,2,Si,Si,52166.25,1GB,No
2331,Chile,Femenino,33,5,137388.01,731,2,Si,No,165000.68,1GB,No
2332,Argentina,Masculino,42,4,0.0,620,2,Si,No,6232.31,100GB,No
2333,Brasil,Masculino,58,8,125850.53,679,2,Si,Si,87008.17,2GB,No
2334,Argentina,Masculino,43,2,165896.0,725,2,Si,No,130795.52,20GB,No
2335,Argentina,Masculino,34,4,134007.9,520,1,Si,Si,193209.11,2GB,No
2336,Chile,Femenino,35,1,0.0,555,2,Si,No,101667.0,20GB,No
2337,Brasil,Masculino,33,0,103471.52,662,1,Si,Si,162703.0,1GB,No
2338,Argentina,Femenino,66,5,0.0,584,1,Si,No,49553.38,20GB,Si
2339,Brasil,Femenino,39,9,100116.67,541,1,Si,Si,199808.1,20GB,Si
2340,Chile,Femenino,29,4,0.0,692,2,No,No,138880.24,100GB,No
2341,Argentina,Femenino,39,4,0.0,658,1,Si,Si,147530.06,20GB,No
2342,Chile,Femenino,42,1,0.0,807,1,Si,No,16500.66,1GB,Si
2343,Brasil,Masculino,29,9,82916.48,659,1,Si,Si,84133.48,2GB,No
2344,Chile,Femenino,31,3,139799.63,689,1,No,Si,120663.57,100GB,No
2345,Argentina,Masculino,39,2,0.0,537,2,Si,Si,137651.6,2GB,No
2346,Chile,Femenino,55,4,91893.32,420,1,Si,No,144870.28,500Mb,Si
2347,Argentina,Masculino,32,7,0.0,705,2,Si,No,7921.57,500Mb,Si
2348,Brasil,Femenino,28,9,135337.49,585,2,Si,Si,40385.61,2GB,No
2349,Chile,Masculino,40,2,0.0,699,1,Si,No,78387.32,2GB,No
2350,Argentina,Masculino,60,7,0.0,775,2,Si,Si,111558.7,500Mb,Si
2351,Argentina,Femenino,46,1,0.0,511,1,Si,Si,115779.48,500Mb,Si
2352,Argentina,Femenino,36,2,0.0,493,2,No,Si,99770.3,2GB,No
2353,Chile,Masculino,29,6,0.0,678,2,Si,No,64443.75,500Mb,Si
2354,Chile,Masculino,37,0,178742.71,670,1,Si,Si,194493.57,20GB,No
2355,Argentina,Femenino,38,9,135979.01,582,4,Si,Si,76582.95,20GB,Si
2356,Argentina,Masculino,36,1,67087.69,569,1,Si,No,154775.7,2GB,No
2357,Brasil,Masculino,52,9,137755.76,532,1,Si,No,163191.99,100GB,Si
2358,Brasil,Femenino,44,4,91115.76,681,2,No,No,24208.84,20GB,Si
2359,Argentina,Femenino,29,4,0.0,742,2,Si,Si,180066.59,20GB,No
2360,Argentina,Femenino,31,1,0.0,710,2,Si,No,20081.3,20GB,No
2361,Chile,Masculino,52,8,0.0,751,2,No,Si,179291.85,20GB,No
2362,Brasil,Masculino,45,4,131038.14,713,1,Si,No,74005.04,20GB,Si
2363,Argentina,Femenino,77,6,0.0,521,2,Si,Si,49054.1,100GB,No
2364,Argentina,Femenino,50,4,0.0,589,2,No,Si,182076.97,20GB,No
2365,Chile,Femenino,57,8,122950.31,511,1,Si,Si,181258.76,2GB,No
2366,Brasil,Masculino,20,4,124365.42,835,1,No,No,180197.74,100GB,Si
2367,Chile,Masculino,34,8,199229.14,850,1,No,No,68106.29,1GB,No
2368,Argentina,Masculino,63,6,160982.89,431,1,Si,Si,168008.17,20GB,No
2369,Argentina,Masculino,38,2,114756.14,556,1,Si,No,193214.05,500Mb,Si
2370,Brasil,Masculino,33,5,174673.65,502,2,Si,No,33300.56,500Mb,Si
2371,Argentina,Femenino,38,7,0.0,738,2,No,No,69227.42,500Mb,Si
2372,Argentina,Femenino,28,6,0.0,745,2,Si,No,154389.18,20GB,No
2373,Argentina,Femenino,39,4,150500.64,591,1,Si,No,14928.8,500Mb,Si
2374,Argentina,Masculino,46,6,0.0,722,1,Si,Si,93917.68,20GB,Si
2375,Argentina,Masculino,52,8,170008.84,672,1,No,No,56407.42,500Mb,Si
2376,Argentina,Femenino,29,3,0.0,755,3,Si,No,4733.94,500Mb,Si
2377,Brasil,Masculino,32,2,57017.06,435,2,Si,Si,5907.11,2GB,No
2378,Chile,Femenino,33,4,72535.45,721,1,Si,Si,103931.49,500Mb,Si
2379,Chile,Femenino,43,6,86053.52,609,2,Si,Si,113276.46,100GB,Si
2380,Argentina,Masculino,57,10,0.0,501,2,Si,Si,47847.19,100GB,No
2381,Brasil,Masculino,25,6,146580.69,693,1,No,Si,14633.35,2GB,No
2382,Argentina,Femenino,72,3,0.0,602,2,Si,Si,171260.66,20GB,No
2383,Argentina,Femenino,56,7,0.0,594,1,Si,No,26215.85,1GB,Si
2384,Argentina,Masculino,37,8,152303.66,481,2,Si,Si,175082.2,2GB,No
2385,Chile,Femenino,37,1,0.0,803,2,No,No,7455.2,20GB,No
2386,Argentina,Masculino,44,9,0.0,550,2,Si,No,26257.01,20GB,No
2387,Brasil,Femenino,57,1,106138.33,543,2,Si,Si,120657.32,20GB,Si
2388,Brasil,Femenino,29,0,138577.34,633,1,Si,No,193362.99,20GB,No
2389,Argentina,Femenino,28,6,105795.9,585,1,Si,Si,41219.09,20GB,No
2390,Argentina,Masculino,31,9,120718.28,744,1,Si,Si,58961.49,20GB,No
2391,Argentina,Masculino,33,0,98064.97,650,1,Si,No,52411.99,1GB,No
2392,Chile,Masculino,50,7,0.0,829,2,No,Si,178458.86,1GB,No
2393,Chile,Masculino,39,2,104349.45,776,1,No,No,79503.05,2GB,No
2394,Chile,Masculino,44,4,0.0,553,1,Si,No,10789.3,100GB,No
2395,Argentina,Femenino,47,5,113328.93,686,1,Si,No,124170.9,500Mb,Si
2396,Argentina,Masculino,39,2,112957.26,519,2,Si,No,97593.16,500Mb,Si
2397,Brasil,Femenino,25,5,123616.43,813,1,No,Si,132959.33,100GB,No
2398,Chile,Masculino,40,8,0.0,427,2,Si,Si,82870.75,100GB,No
2399,Chile,Masculino,37,7,132730.17,761,1,Si,No,199293.01,1GB,No
2400,Argentina,Femenino,46,5,0.0,611,1,Si,No,77677.14,1GB,Si
2401,Argentina,Masculino,39,4,0.0,527,2,Si,No,167183.07,20GB,Si
2402,Argentina,Femenino,25,9,0.0,725,2,Si,Si,168607.74,100GB,No
2403,Argentina,Masculino,28,4,0.0,579,2,Si,Si,176925.69,1GB,No
2404,Chile,Femenino,38,3,0.0,824,2,Si,No,192800.25,500Mb,Si
2405,Argentina,Masculino,28,3,157842.07,537,1,Si,No,86911.49,2GB,No
2406,Brasil,Femenino,32,2,104336.43,786,2,No,No,59559.81,20GB,No
2407,Argentina,Femenino,35,2,181166.44,682,1,Si,Si,63737.19,20GB,Si
2408,Argentina,Masculino,30,7,95128.86,669,1,No,No,19799.26,20GB,No
2409,Argentina,Masculino,33,4,0.0,608,1,No,Si,130474.03,20GB,No
2410,Brasil,Masculino,28,9,160858.13,643,2,Si,No,27149.27,20GB,No
2411,Argentina,Masculino,52,1,0.0,688,2,Si,Si,172033.57,500Mb,Si
2412,Argentina,Femenino,44,4,0.0,569,2,No,No,134394.78,100GB,No
2413,Chile,Femenino,29,6,0.0,671,2,No,No,12048.67,20GB,No
2414,Brasil,Femenino,32,10,139875.2,564,2,Si,No,15378.23,1GB,No
2415,Chile,Masculino,18,3,0.0,806,2,Si,Si,86994.54,2GB,No
2416,Chile,Femenino,34,5,98683.47,635,2,Si,No,15733.19,500Mb,Si
2417,Argentina,Femenino,38,2,168190.33,800,2,Si,No,68052.08,500Mb,Si
2418,Chile,Masculino,38,8,0.0,556,2,No,No,417.41,100GB,Si
2419,Brasil,Masculino,38,4,111096.91,755,1,Si,Si,19762.88,100GB,No
2420,Brasil,Femenino,47,2,103108.8,626,1,No,Si,166475.44,2GB,Si
2421,Argentina,Masculino,24,7,0.0,663,2,Si,Si,166310.82,2GB,No
2422,Chile,Masculino,42,9,132657.55,641,1,Si,No,35367.19,500Mb,Si
2423,Argentina,Femenino,40,9,139625.34,632,1,Si,No,93702.96,100GB,Si
2424,Brasil,Masculino,39,8,102945.01,583,1,No,No,52861.89,1GB,No
2425,Argentina,Femenino,31,0,118100.59,718,2,Si,No,103165.15,2GB,No
2426,Brasil,Masculino,39,8,136000.45,606,2,Si,No,31708.53,500Mb,Si
2427,Chile,Masculino,36,2,102989.83,717,2,No,Si,49185.57,20GB,No
2428,Chile,Femenino,36,7,0.0,683,2,Si,No,104786.59,500Mb,Si
2429,Brasil,Femenino,37,9,157098.52,636,1,Si,Si,153535.27,20GB,No
2430,Argentina,Masculino,29,0,0.0,582,1,Si,No,142516.35,2GB,No
2431,Argentina,Femenino,30,4,137851.31,777,1,Si,No,5008.23,1GB,Si
2432,Chile,Masculino,35,10,159693.9,701,2,Si,Si,71173.64,500Mb,Si
2433,Brasil,Masculino,44,2,112755.34,850,2,No,No,158171.36,1GB,No
2434,Argentina,Masculino,34,2,117731.79,662,2,No,Si,55120.79,100GB,No
2435,Argentina,Masculino,29,8,102490.27,472,1,No,Si,181224.56,500Mb,Si
2436,Argentina,Femenino,33,9,0.0,612,1,No,No,142797.5,2GB,Si
2437,Brasil,Femenino,60,7,128981.07,545,1,No,Si,176924.21,20GB,Si
2438,Argentina,Femenino,34,1,142151.75,672,2,Si,Si,168753.34,20GB,No
2439,Chile,Masculino,58,9,122330.7,748,2,No,Si,124429.19,1GB,No
2440,Brasil,Femenino,52,6,71283.09,734,2,No,Si,38984.37,100GB,No
2441,Argentina,Masculino,37,2,0.0,746,2,Si,No,143194.05,2GB,No
2442,Argentina,Masculino,57,5,0.0,641,2,Si,Si,122449.18,100GB,No
2443,Brasil,Masculino,40,5,113574.61,729,2,Si,No,103396.08,20GB,No
2444,Brasil,Masculino,32,8,101160.99,696,1,Si,Si,115916.55,2GB,No
2445,Argentina,Masculino,58,3,0.0,746,3,Si,Si,80344.96,20GB,Si
2446,Argentina,Femenino,33,1,118392.75,579,1,Si,Si,157564.75,2GB,No
2447,Argentina,Masculino,40,1,0.0,479,2,No,No,114996.43,20GB,No
2448,Argentina,Femenino,40,3,129596.77,645,1,Si,Si,103232.6,20GB,No
2449,Argentina,Femenino,64,9,0.0,598,1,No,Si,13181.37,20GB,Si
2450,Argentina,Femenino,39,6,0.0,481,1,Si,Si,24677.54,100GB,No
2451,Chile,Femenino,42,5,0.0,701,2,No,No,24210.56,100GB,No
2452,Argentina,Masculino,21,1,0.0,626,2,Si,No,66232.23,2GB,No
2453,Argentina,Femenino,38,5,0.0,846,1,Si,Si,187616.16,100GB,No
2454,Argentina,Masculino,45,3,129209.48,824,1,No,No,60151.77,500Mb,Si
2455,Argentina,Femenino,52,4,0.0,641,1,Si,No,90964.54,20GB,Si
2456,Argentina,Masculino,40,4,0.0,564,1,Si,No,85455.62,500Mb,Si
2457,Argentina,Femenino,38,9,0.0,659,2,Si,Si,132809.18,1GB,No
2458,Chile,Femenino,43,5,0.0,529,2,No,No,79476.63,2GB,No
2459,Brasil,Femenino,38,5,114753.76,691,1,Si,No,107665.02,500Mb,Si
2460,Argentina,Masculino,39,8,0.0,645,2,No,No,96864.36,500Mb,Si
2461,Argentina,Femenino,29,4,0.0,539,2,Si,Si,100919.19,1GB,No
2462,Argentina,Masculino,33,3,148659.48,604,1,No,No,42437.75,100GB,No
2463,Argentina,Masculino,45,7,123859.6,607,1,No,Si,113051.57,500Mb,Si
2464,Chile,Femenino,40,6,0.0,637,2,Si,Si,181610.6,500Mb,Si
2465,Argentina,Femenino,26,2,144258.52,551,1,Si,No,49778.79,500Mb,Si
2466,Argentina,Masculino,72,2,0.0,668,2,Si,Si,70783.61,20GB,No
2467,Argentina,Masculino,24,7,98148.61,764,1,Si,No,26843.76,1GB,No
2468,Brasil,Masculino,24,7,101195.23,649,1,No,No,133091.32,1GB,No
2469,Brasil,Masculino,33,8,92659.2,562,2,Si,No,1354.25,2GB,No
2470,Chile,Masculino,46,2,79385.21,581,2,No,No,188492.82,2GB,No
2471,Argentina,Femenino,46,2,0.0,668,3,Si,No,89048.46,1GB,Si
2472,Brasil,Femenino,40,9,107648.94,832,2,Si,Si,134638.97,20GB,No
2473,Argentina,Femenino,40,8,150490.32,550,1,No,No,166468.21,20GB,Si
2474,Argentina,Masculino,36,7,0.0,651,2,Si,No,13898.31,2GB,No
2475,Argentina,Masculino,44,3,141252.18,842,4,No,Si,128521.16,100GB,Si
2476,Argentina,Femenino,37,6,0.0,449,2,Si,No,82176.48,1GB,No
2477,Brasil,Femenino,46,7,137145.12,655,1,Si,No,115146.4,1GB,Si
2478,Chile,Masculino,58,6,98308.51,633,1,Si,Si,132034.13,20GB,No
2479,Argentina,Masculino,41,2,0.0,765,2,No,Si,191215.61,100GB,No
2480,Argentina,Femenino,60,0,131778.08,597,1,No,No,10703.53,2GB,Si
2481,Argentina,Femenino,40,9,0.0,790,2,Si,Si,70607.1,2GB,No
2482,Chile,Femenino,36,2,0.0,721,2,Si,Si,106977.8,1GB,No
2483,Chile,Masculino,37,2,103195.2,773,2,Si,No,178268.36,500Mb,Si
2484,Chile,Masculino,39,8,0.0,850,2,Si,Si,37090.44,1GB,No
2485,Argentina,Masculino,35,2,0.0,607,2,Si,Si,114190.3,20GB,No
2486,Argentina,Masculino,35,8,110934.54,665,1,Si,No,169287.99,500Mb,Si
2487,Argentina,Masculino,30,2,104145.65,611,1,No,No,159629.64,1GB,No
2488,Chile,Masculino,23,10,98052.66,782,1,Si,Si,142587.32,1GB,No
2489,Argentina,Masculino,18,10,0.0,646,2,No,Si,52795.15,1GB,No
2490,Argentina,Masculino,38,8,0.0,579,2,No,No,91763.67,2GB,No
2491,Argentina,Femenino,56,2,0.0,835,2,Si,Si,39820.13,100GB,No
2492,Argentina,Masculino,35,2,141005.47,715,1,Si,Si,60407.93,2GB,No
2493,Chile,Femenino,26,1,80780.16,726,1,Si,Si,19225.85,500Mb,Si
2494,Brasil,Masculino,62,3,143426.34,627,2,Si,Si,143104.3,500Mb,Si
2495,Chile,Femenino,46,10,0.0,589,2,No,Si,168369.37,1GB,No
2496,Argentina,Masculino,43,1,0.0,512,2,Si,Si,52471.36,500Mb,Si
2497,Chile,Femenino,32,1,0.0,825,2,Si,Si,42935.15,1GB,No
2498,Argentina,Femenino,32,3,0.0,593,2,Si,Si,151978.36,20GB,No
2499,Argentina,Femenino,34,0,0.0,661,2,Si,No,185555.63,2GB,No
2500,Brasil,Masculino,31,2,154741.45,653,2,No,No,25183.01,20GB,No
2501,Brasil,Masculino,38,2,148430.55,634,1,Si,Si,56055.72,2GB,No
2502,Chile,Masculino,40,4,0.0,472,1,Si,No,70154.22,2GB,No
2503,Brasil,Masculino,49,5,97036.22,696,2,Si,No,152450.84,1GB,Si
2504,Brasil,Femenino,33,7,99046.31,726,2,Si,Si,56053.06,2GB,No
2505,Argentina,Femenino,40,9,176914.8,734,1,Si,Si,12799.23,2GB,No
2506,Argentina,Masculino,34,4,0.0,454,2,Si,No,198817.72,2GB,No
2507,Argentina,Femenino,41,7,176845.41,794,3,Si,No,166526.26,500Mb,Si
2508,Argentina,Masculino,35,4,0.0,686,1,Si,No,8816.37,100GB,No
2509,Chile,Masculino,27,4,0.0,659,2,Si,No,99341.87,20GB,No
2510,Brasil,Femenino,26,1,131908.35,652,1,Si,Si,179269.79,1GB,No
2511,Brasil,Femenino,28,4,90696.78,766,1,No,Si,21597.2,100GB,No
2512,Argentina,Femenino,59,2,0.0,708,1,Si,No,179673.11,500Mb,Si
2513,Brasil,Masculino,46,9,161450.03,612,1,Si,Si,96961.0,100GB,Si
2514,Chile,Masculino,41,2,142412.13,623,1,Si,No,28778.98,100GB,No
2515,Brasil,Femenino,48,3,122388.38,624,2,No,No,30020.09,20GB,No
2516,Chile,Masculino,24,1,165149.13,603,2,Si,No,21858.28,20GB,No
2517,Chile,Masculino,41,1,72509.91,769,1,Si,No,25723.73,2GB,No
2518,Chile,Masculino,60,3,0.0,748,2,Si,Si,78194.37,2GB,No
2519,Argentina,Masculino,26,0,0.0,642,1,No,No,47472.68,1GB,No
2520,Chile,Masculino,70,3,0.0,731,2,Si,Si,141180.66,100GB,No
2521,Brasil,Femenino,41,3,81877.38,632,1,Si,Si,33642.21,100GB,No
2522,Brasil,Femenino,34,2,148200.72,756,1,No,No,194584.48,500Mb,Si
2523,Brasil,Masculino,33,6,94126.67,609,1,No,No,93718.16,1GB,No
2524,Brasil,Femenino,36,3,74974.89,580,1,Si,Si,12099.67,500Mb,Si
2525,Argentina,Masculino,18,4,133550.67,727,1,Si,Si,46941.41,20GB,No
2526,Chile,Femenino,31,3,121237.65,850,1,Si,Si,31022.56,2GB,No
2527,Argentina,Femenino,36,5,180169.44,768,2,Si,No,17348.56,500Mb,Si
2528,Brasil,Masculino,48,4,123593.22,659,2,Si,No,82469.06,20GB,Si
2529,Chile,Masculino,27,9,75263.16,497,1,Si,Si,164825.04,1GB,No
2530,Argentina,Femenino,25,2,0.0,610,2,Si,No,123723.83,20GB,No
2531,Argentina,Masculino,42,7,115076.06,613,1,Si,Si,79323.61,500Mb,Si
2532,Brasil,Femenino,49,4,137455.99,788,1,Si,No,184178.29,100GB,Si
2533,Argentina,Femenino,32,2,136555.01,521,2,Si,Si,129353.21,100GB,No
2534,Argentina,Femenino,34,7,141525.55,594,1,No,No,9443.15,500Mb,Si
2535,Argentina,Masculino,32,9,0.0,605,2,Si,Si,55724.24,1GB,No
2536,Chile,Femenino,40,8,0.0,739,1,Si,No,167030.51,2GB,No
2537,Argentina,Masculino,40,9,122417.17,594,2,No,Si,190882.69,20GB,No
2538,Chile,Masculino,47,10,99835.17,647,1,No,Si,89103.05,20GB,No
2539,Brasil,Femenino,35,6,126077.43,714,2,Si,Si,53954.24,500Mb,Si
2540,Brasil,Masculino,52,1,98443.14,452,2,No,No,92033.98,2GB,No
2541,Argentina,Femenino,27,4,0.0,617,2,No,No,190269.21,20GB,No
2542,Chile,Femenino,63,3,139529.93,608,2,Si,Si,175696.16,1GB,Si
2543,Argentina,Masculino,32,3,116324.53,553,1,Si,No,77304.49,1GB,No
2544,Argentina,Femenino,44,2,114427.86,535,1,Si,Si,136330.26,2GB,No
2545,Chile,Masculino,25,10,0.0,641,2,Si,Si,180808.39,500Mb,Si
2546,Chile,Femenino,42,1,138912.17,602,1,Si,Si,139494.75,500Mb,Si
2547,Chile,Masculino,32,5,133705.74,664,1,No,No,134455.84,20GB,No
2548,Argentina,Masculino,29,10,130206.28,633,1,Si,No,184654.87,2GB,No
2549,Chile,Femenino,22,3,0.0,628,1,Si,No,85426.28,20GB,No
2550,Chile,Masculino,43,9,123105.88,838,2,Si,No,145765.83,1GB,No
2551,Argentina,Femenino,48,4,112070.86,607,3,Si,No,173568.3,2GB,Si
2552,Brasil,Masculino,41,6,70349.48,582,2,No,Si,178074.04,2GB,No
2553,Argentina,Masculino,37,5,105843.26,521,2,Si,Si,84908.2,20GB,No
2554,Argentina,Femenino,40,3,92055.36,601,1,No,Si,164652.02,1GB,Si
2555,Argentina,Femenino,40,3,0.0,672,1,Si,No,113171.61,500Mb,Si
2556,Brasil,Femenino,37,7,123067.63,691,1,Si,Si,98162.44,500Mb,Si
2557,Brasil,Femenino,29,6,148051.52,499,1,Si,No,118623.94,500Mb,Si
2558,Brasil,Masculino,31,9,138166.3,724,1,Si,No,12920.43,1GB,No
2559,Argentina,Femenino,37,2,133968.96,626,2,Si,No,148689.65,1GB,No
2560,Brasil,Femenino,50,6,132598.38,679,2,Si,Si,184017.98,2GB,No
2561,Argentina,Femenino,41,10,108309.0,771,4,Si,Si,137510.41,500Mb,Si
2562,Chile,Masculino,30,2,0.0,575,2,Si,Si,82222.86,20GB,No
